Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 5.500, 3.314
20.291, 5.499, 3.334
20.585, 5.499, 3.355
20.884, 5.499, 3.376
21.188, 5.499, 3.400
21.495, 5.500, 3.423
21.808, 5.501, 3.446
22.124, 5.502, 3.467
22.446, 5.504, 3.481
22.772, 5.506, 3.490
23.103, 5.508, 3.501
23.438, 5.512, 3.519
23.779, 5.516, 3.576
24.124, 5.522, 3.644
24.474, 5.528, 3.714
24.830, 5.533, 3.776
25.191, 5.534, 3.829
25.557, 5.531, 3.879
25.928, 5.527, 3.926
26.304, 5.526, 3.969
26.686, 5.529, 4.012
27.074, 5.534, 4.051
27.467, 5.540, 4.083
27.866, 5.544, 4.104
28.271, 5.544, 4.037
28.682, 5.543, 3.924
29.098, 5.542, 3.828
29.521, 5.548, 3.831
29.950, 5.563, 3.890
30.385, 5.581, 3.973
30.826, 5.590, 4.075
31.274, 5.586, 4.199
31.728, 5.578, 4.345
32.189, 5.574, 4.470
32.657, 5.573, 4.475
33.131, 5.574, 4.422
33.612, 5.577, 4.401
34.101, 5.583, 4.472
34.596, 5.592, 4.612
35.099, 5.599, 4.714
35.608, 5.589, 4.635
36.126, 5.570, 4.466
36.650, 5.559, 4.371
37.183, 5.569, 4.441
37.723, 5.580, 4.548
38.271, 5.589, 4.585
38.827, 5.597, 4.539
39.391, 5.602, 4.495
39.963, 5.597, 4.576
40.543, 5.585, 4.692
41.132, 5.577, 4.804
41.730, 5.572, 4.914
42.336, 5.572, 5.018
42.951, 5.580, 5.047
43.575, 5.591, 5.014
44.208, 5.602, 5.062
44.850, 5.613, 5.209
45.501, 5.622, 5.314
46.162, 5.602, 5.324
46.833, 5.583, 5.335
47.513, 5.593, 5.360
48.203, 5.608, 5.389
48.903, 5.600, 5.312
49.614, 5.584, 5.168
50.334, 5.597, 5.308
51.066, 5.621, 5.525
51.807, 5.628, 5.737
52.560, 5.631, 5.944
53.323, 5.636, 6.047
54.098, 5.643, 6.075
54.884, 5.636, 6.051
55.681, 5.628, 6.022
56.490, 5.628, 6.140
57.310, 5.635, 6.248
58.143, 5.653, 6.312
58.987, 5.661, 6.317
59.844, 5.658, 6.236
60.713, 5.652, 6.461
61.595, 5.645, 6.765
62.490, 5.643, 6.652
63.398, 5.639, 6.739
64.319, 5.634, 7.083
65.253, 5.638, 7.094
66.201, 5.643, 7.003
67.162, 5.644, 6.844
68.138, 5.661, 7.032
69.128, 5.672, 7.194
70.132, 5.657, 6.935
71.151, 5.643, 7.027
72.184, 5.646, 7.157
73.233, 5.680, 7.290
74.296, 5.661, 7.554
75.376, 5.659, 7.609
76.470, 5.676, 7.577
77.581, 5.707, 7.729
78.708, 5.673, 8.078
79.851, 5.666, 8.120
81.011, 5.670, 8.076
82.188, 5.671, 8.112
83.382, 5.671, 8.127
84.593, 5.684, 8.343
85.822, 5.702, 8.525
87.068, 5.693, 8.658
88.333, 5.670, 8.703
89.616, 5.686, 8.684
90.918, 5.709, 8.994
92.239, 5.677, 9.029
93.579, 5.723, 8.943
94.938, 5.720, 9.084
96.317, 5.678, 9.487
97.716, 5.694, 9.310
99.135, 5.700, 9.538
100.575, 5.740, 9.722
102.036, 5.734, 9.836
103.518, 5.706, 10.066
105.022, 5.701, 10.124
106.548, 5.732, 10.177
108.095, 5.730, 10.373
109.665, 5.747, 10.504
111.258, 5.710, 10.317
112.874, 5.747, 10.680
114.514, 5.765, 11.075
116.177, 5.761, 11.127
117.865, 5.770, 11.148
119.577, 5.749, 11.533
121.314, 5.755, 11.535
123.076, 5.723, 11.917
124.864, 5.769, 11.723
126.678, 5.766, 11.960
128.518, 5.802, 12.143
130.385, 5.778, 12.668
132.279, 5.764, 12.330
134.200, 5.780, 12.626
136.149, 5.776, 12.783
138.127, 5.832, 12.996
140.133, 5.776, 12.874
142.169, 5.771, 14.157
144.234, 5.831, 13.789
146.329, 5.790, 14.209
148.455, 5.823, 13.984
150.611, 5.868, 14.009
152.799, 5.829, 14.269
155.018, 5.841, 14.401
157.270, 5.859, 14.681
159.554, 5.821, 14.854
161.872, 5.898, 15.376
164.223, 5.893, 15.532
166.609, 5.867, 15.855
169.029, 5.877, 15.995
171.484, 5.878, 16.450
173.975, 5.880, 16.480
176.502, 5.908, 16.601
179.066, 5.924, 17.150
181.667, 5.943, 17.036
184.306, 5.961, 17.422
186.983, 5.938, 17.667
189.699, 5.948, 17.925
192.455, 5.936, 18.217
195.250, 5.946, 18.717
198.086, 5.998, 18.763
200.964, 5.981, 18.786
203.883, 5.991, 19.179
206.844, 6.005, 19.925
209.849, 6.037, 20.138
212.897, 6.042, 20.414
215.990, 6.049, 20.557
219.127, 6.086, 20.949
222.310, 6.100, 21.581
225.539, 6.153, 21.950
228.815, 6.108, 21.525
232.139, 6.148, 22.108
235.511, 6.195, 22.751
238.932, 6.170, 23.517
242.403, 6.218, 23.411
245.924, 6.256, 24.193
249.496, 6.264, 24.469
253.120, 6.288, 24.771
256.797, 6.329, 25.079
260.527, 6.374, 25.434
264.311, 6.340, 25.786
268.151, 6.426, 26.129
272.046, 6.432, 26.671
275.997, 6.447, 27.086
280.006, 6.504, 27.633
284.074, 6.505, 28.134
288.200, 6.547, 29.068
292.386, 6.590, 29.129
296.633, 6.654, 29.742
300.942, 6.674, 30.181
305.314, 6.716, 30.556
309.748, 6.780, 31.174
314.248, 6.836, 31.724
318.812, 6.857, 32.268
323.443, 6.959, 32.568
328.142, 7.002, 33.099
332.908, 7.065, 33.733
337.744, 7.134, 34.484
342.650, 7.170, 35.482
347.627, 7.271, 36.010
352.677, 7.387, 36.502
357.799, 7.450, 37.106
362.997, 7.599, 37.813
368.269, 7.610, 38.403
373.619, 7.750, 39.103
379.046, 7.874, 39.720
384.552, 8.044, 40.281
390.138, 8.158, 41.162
395.805, 8.274, 41.925
401.554, 8.484, 42.524
407.387, 8.666, 43.538
413.304, 8.866, 43.809
419.308, 9.083, 44.880
425.399, 9.258, 45.473
431.578, 9.478, 46.144
437.847, 9.803, 47.364
444.207, 10.159, 47.731
450.659, 10.465, 47.938
457.205, 10.961, 48.256
463.847, 11.431, 49.015
470.584, 11.823, 49.288
477.420, 12.487, 49.799
484.355, 13.037, 49.461
491.390, 13.797, 49.338
498.528, 14.513, 49.394
505.770, 15.494, 49.226
513.116, 16.673, 48.432
520.570, 18.101, 46.800
528.131, 19.603, 44.031
535.803, 21.361, 40.636
543.586, 23.076, 35.372
551.482, 24.415, 29.942
559.492, 25.464, 22.256
567.619, 24.659, 14.125
575.864, 24.125, 10.477
584.229, 23.345, 4.891
592.716, 22.817, -0.389
601.325, 21.486, -5.976
610.060, 19.182, -9.277
618.921, 17.572, -9.870
627.912, 16.655, -6.647
637.032, 17.279, -9.660
646.286, 16.480, -10.493
655.673, 15.746, -11.217
665.198, 15.473, -12.654
674.860, 14.237, -13.566
684.663, 14.529, -9.991
694.608, 14.867, -15.535
704.698, 14.105, -16.208
714.934, 13.835, -16.173
725.319, 13.036, -19.382
735.855, 12.461, -17.947
746.543, 12.035, -18.272
757.387, 11.786, -18.751
768.389, 11.120, -19.880
779.550, 10.332, -17.690
790.874, 10.229, -15.006
802.362, 10.248, -12.479
814.017, 10.425, -14.411
825.841, 10.222, -16.016
837.837, 9.577, -14.835
850.007, 9.166, -14.609
862.354, 8.792, -11.082
874.880, 8.878, -8.503
887.588, 8.928, -7.847
900.481, 8.928, -6.027
913.561, 8.979, -5.844
926.831, 8.983, -6.077
940.294, 8.636, -5.714
953.953, 8.665, -3.090
967.810, 8.668, -1.650
981.868, 8.671, -0.475
996.130, 8.838, -0.764
1010.599, 8.988, 1.043
1025.279, 8.895, 2.092
1040.172, 8.845, 1.476
1055.281, 8.559, 1.959
1070.610, 8.582, 4.504
1086.161, 8.926, 6.573
1101.938, 8.943, 7.232
1117.945, 8.969, 8.465
1134.184, 9.223, 10.574
1150.659, 9.456, 10.258
1167.373, 9.640, 12.746
