Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 5.511, 3.080
20.291, 5.512, 3.105
20.585, 5.512, 3.135
20.884, 5.508, 3.168
21.188, 5.502, 3.204
21.495, 5.495, 3.246
21.808, 5.490, 3.292
22.124, 5.491, 3.350
22.446, 5.496, 3.436
22.772, 5.503, 3.538
23.103, 5.512, 3.638
23.438, 5.524, 3.716
23.779, 5.536, 3.714
24.124, 5.553, 3.703
24.474, 5.571, 3.690
24.830, 5.585, 3.685
25.191, 5.581, 3.686
25.557, 5.561, 3.691
25.928, 5.537, 3.702
26.304, 5.524, 3.719
26.686, 5.533, 3.751
27.074, 5.557, 3.797
27.467, 5.583, 3.860
27.866, 5.594, 3.938
28.271, 5.582, 4.058
28.682, 5.562, 4.212
29.098, 5.545, 4.355
29.521, 5.542, 4.423
29.950, 5.543, 4.434
30.385, 5.546, 4.414
30.826, 5.550, 4.364
31.274, 5.557, 4.273
31.728, 5.564, 4.148
32.189, 5.570, 4.058
32.657, 5.574, 4.148
33.131, 5.577, 4.252
33.612, 5.579, 4.358
34.101, 5.577, 4.466
34.596, 5.572, 4.577
35.099, 5.568, 4.689
35.608, 5.570, 4.625
36.126, 5.574, 4.442
36.650, 5.577, 4.359
37.183, 5.572, 4.551
37.723, 5.565, 4.785
38.271, 5.566, 4.949
38.827, 5.583, 5.068
39.391, 5.600, 5.150
39.963, 5.599, 5.197
40.543, 5.586, 5.204
41.132, 5.582, 5.165
41.730, 5.593, 5.034
42.336, 5.605, 4.898
42.951, 5.604, 4.917
43.575, 5.596, 4.971
44.208, 5.599, 5.018
44.850, 5.612, 5.056
45.501, 5.624, 5.102
46.162, 5.634, 5.171
46.833, 5.641, 5.262
47.513, 5.624, 5.389
48.203, 5.604, 5.533
48.903, 5.588, 5.450
49.614, 5.579, 5.254
50.334, 5.600, 5.363
51.066, 5.644, 5.550
51.807, 5.636, 5.704
52.560, 5.607, 5.839
53.323, 5.620, 5.955
54.098, 5.641, 6.030
54.884, 5.657, 5.965
55.681, 5.667, 5.879
56.490, 5.648, 6.080
57.310, 5.634, 6.228
58.143, 5.637, 6.180
58.987, 5.633, 6.184
59.844, 5.620, 6.254
60.713, 5.638, 6.434
61.595, 5.664, 6.634
62.490, 5.637, 6.505
63.398, 5.640, 6.582
64.319, 5.685, 6.857
65.253, 5.668, 7.097
66.201, 5.657, 7.208
67.162, 5.681, 6.948
68.138, 5.672, 7.091
69.128, 5.664, 7.262
70.132, 5.683, 7.308
71.151, 5.670, 7.436
72.184, 5.657, 7.474
73.233, 5.659, 7.282
74.296, 5.681, 7.719
75.376, 5.683, 7.755
76.470, 5.678, 7.645
77.581, 5.681, 7.673
78.708, 5.682, 7.660
79.851, 5.693, 7.742
81.011, 5.700, 8.098
82.188, 5.690, 8.614
83.382, 5.690, 8.238
84.593, 5.712, 8.098
85.822, 5.706, 8.198
87.068, 5.695, 8.400
88.333, 5.700, 8.667
89.616, 5.713, 8.964
90.918, 5.710, 9.035
92.239, 5.676, 9.010
93.579, 5.695, 9.093
94.938, 5.689, 9.011
96.317, 5.723, 9.348
97.716, 5.744, 9.609
99.135, 5.721, 9.668
100.575, 5.703, 9.694
102.036, 5.746, 9.739
103.518, 5.707, 9.910
105.022, 5.694, 10.126
106.548, 5.721, 10.488
108.095, 5.754, 10.420
109.665, 5.727, 10.826
111.258, 5.753, 10.704
112.874, 5.741, 10.545
114.514, 5.738, 10.858
116.177, 5.758, 10.889
117.865, 5.733, 11.131
119.577, 5.749, 11.444
121.314, 5.764, 11.694
123.076, 5.800, 11.497
124.864, 5.752, 11.617
126.678, 5.779, 12.225
128.518, 5.781, 12.164
130.385, 5.775, 12.698
132.279, 5.779, 12.407
134.200, 5.831, 12.573
136.149, 5.791, 12.925
138.127, 5.795, 12.695
140.133, 5.796, 13.242
142.169, 5.818, 13.768
144.234, 5.834, 13.502
146.329, 5.853, 13.583
148.455, 5.817, 13.822
150.611, 5.830, 14.429
152.799, 5.854, 14.640
155.018, 5.853, 14.496
157.270, 5.838, 14.776
159.554, 5.845, 14.925
161.872, 5.867, 14.874
164.223, 5.878, 15.242
166.609, 5.893, 15.692
169.029, 5.901, 16.022
171.484, 5.902, 16.339
173.975, 5.878, 16.529
176.502, 5.903, 16.425
179.066, 5.923, 16.848
