Frequency(Hz), Magnitude(ohm), Phase(deg)
20.000, 10.117, -0.028
20.291, 10.120, -0.025
20.585, 10.121, -0.022
20.884, 10.120, -0.018
21.188, 10.119, -0.013
21.495, 10.118, -0.009
21.808, 10.117, -0.004
22.124, 10.117, -0.001
22.446, 10.117, 0.003
22.772, 10.118, 0.005
23.103, 10.119, 0.007
23.438, 10.120, 0.009
23.779, 10.118, 0.006
24.124, 10.114, 0.001
24.474, 10.109, -0.004
24.830, 10.106, -0.008
25.191, 10.108, -0.010
25.557, 10.113, -0.011
25.928, 10.118, -0.011
26.304, 10.121, -0.009
26.686, 10.119, -0.003
27.074, 10.116, 0.007
27.467, 10.112, 0.018
27.866, 10.110, 0.025
28.271, 10.109, 0.029
28.682, 10.109, 0.029
29.098, 10.109, 0.026
29.521, 10.109, 0.018
29.950, 10.109, -0.000
30.385, 10.110, -0.021
30.826, 10.111, -0.032
31.274, 10.113, -0.029
31.728, 10.115, -0.021
32.189, 10.117, -0.009
32.657, 10.115, 0.007
33.131, 10.112, 0.028
33.612, 10.109, 0.046
34.101, 10.110, 0.038
34.596, 10.111, 0.023
35.099, 10.112, 0.010
35.608, 10.112, -0.001
36.126, 10.112, -0.011
36.650, 10.113, -0.018
37.183, 10.113, -0.020
37.723, 10.114, -0.020
38.271, 10.114, -0.015
38.827, 10.117, -0.005
39.391, 10.119, 0.005
39.963, 10.119, 0.005
40.543, 10.118, -0.002
41.132, 10.118, -0.005
41.730, 10.118, -0.002
42.336, 10.118, 0.001
42.951, 10.116, 0.005
43.575, 10.114, 0.011
44.208, 10.113, 0.009
44.850, 10.113, -0.008
45.501, 10.112, -0.021
46.162, 10.110, -0.020
46.833, 10.107, -0.020
47.513, 10.106, -0.022
48.203, 10.105, -0.028
48.903, 10.106, -0.091
49.614, 10.108, -0.193
50.334, 10.110, -0.146
51.066, 10.114, -0.032
51.807, 10.114, -0.015
52.560, 10.112, -0.025
53.323, 10.111, -0.045
54.098, 10.110, -0.070
54.884, 10.111, -0.063
55.681, 10.112, -0.047
56.490, 10.109, -0.026
57.310, 10.107, -0.009
58.143, 10.107, -0.009
58.987, 10.109, -0.011
59.844, 10.111, -0.013
60.713, 10.110, -0.021
61.595, 10.107, -0.028
62.490, 10.113, -0.003
63.398, 10.114, 0.015
64.319, 10.110, 0.022
65.253, 10.107, 0.011
66.201, 10.105, -0.001
67.162, 10.109, -0.007
68.138, 10.111, 0.015
69.128, 10.113, 0.029
70.132, 10.114, -0.014
71.151, 10.111, -0.024
72.184, 10.110, -0.017
73.233, 10.112, -0.003
74.296, 10.110, 0.003
75.376, 10.113, -0.014
76.470, 10.116, -0.034
77.581, 10.109, -0.024
78.708, 10.112, -0.021
79.851, 10.115, -0.026
81.011, 10.115, -0.028
82.188, 10.113, -0.017
83.382, 10.115, -0.027
84.593, 10.113, -0.019
85.822, 10.111, -0.018
87.068, 10.110, -0.005
88.333, 10.111, 0.010
89.616, 10.112, -0.004
90.918, 10.113, -0.025
92.239, 10.110, -0.026
93.579, 10.112, -0.026
94.938, 10.111, -0.002
96.317, 10.110, 0.013
97.716, 10.111, -0.004
99.135, 10.114, -0.001
100.575, 10.114, -0.012
102.036, 10.111, -0.018
103.518, 10.111, -0.030
105.022, 10.109, -0.021
106.548, 10.107, -0.029
108.095, 10.107, -0.035
109.665, 10.112, -0.031
111.258, 10.111, -0.017
112.874, 10.111, -0.030
114.514, 10.112, -0.014
116.177, 10.113, -0.026
117.865, 10.116, -0.011
119.577, 10.111, -0.022
121.314, 10.113, -0.014
123.076, 10.109, -0.009
124.864, 10.112, -0.012
126.678, 10.113, -0.032
128.518, 10.113, 0.009
130.385, 10.115, -0.061
132.279, 10.111, -0.021
134.200, 10.110, -0.022
136.149, 10.115, -0.003
138.127, 10.117, -0.028
140.133, 10.115, -0.029
142.169, 10.116, 0.009
144.234, 10.112, -0.006
146.329, 10.114, -0.009
148.455, 10.115, -0.003
150.611, 10.120, -0.045
152.799, 10.119, -0.012
155.018, 10.113, -0.030
157.270, 10.117, -0.011
159.554, 10.116, -0.002
161.872, 10.111, -0.020
164.223, 10.117, -0.004
166.609, 10.115, -0.033
169.029, 10.113, -0.008
171.484, 10.108, -0.023
173.975, 10.107, -0.048
176.502, 10.110, -0.011
179.066, 10.115, -0.028
181.667, 10.108, -0.040
184.306, 10.112, -0.039
186.983, 10.110, -0.001
189.699, 10.109, -0.026
192.455, 10.110, -0.029
195.250, 10.112, -0.016
198.086, 10.110, -0.048
200.964, 10.111, -0.040
203.883, 10.109, -0.015
206.844, 10.114, -0.021
209.849, 10.109, -0.011
212.897, 10.113, -0.020
215.990, 10.111, 0.023
219.127, 10.110, -0.019
222.310, 10.113, 0.010
225.539, 10.116, 0.022
228.815, 10.113, -0.025
232.139, 10.112, -0.012
235.511, 10.111, -0.028
238.932, 10.115, -0.026
242.403, 10.113, -0.013
245.924, 10.118, -0.027
249.496, 10.118, -0.047
253.120, 10.113, -0.024
256.797, 10.110, -0.043
260.527, 10.116, -0.011
264.311, 10.113, -0.023
268.151, 10.108, -0.013
272.046, 10.113, -0.019
275.997, 10.114, -0.004
280.006, 10.114, -0.011
284.074, 10.108, -0.020
288.200, 10.111, -0.040
292.386, 10.109, -0.017
296.633, 10.112, -0.019
300.942, 10.112, -0.017
305.314, 10.116, 0.002
309.748, 10.112, -0.018
314.248, 10.108, 0.000
318.812, 10.115, -0.016
323.443, 10.109, -0.008
328.142, 10.106, -0.003
332.908, 10.116, -0.007
337.744, 10.108, -0.040
342.650, 10.109, -0.037
347.627, 10.116, -0.008
352.677, 10.109, 0.001
357.799, 10.108, -0.032
362.997, 10.108, -0.009
368.269, 10.113, -0.027
373.619, 10.109, -0.010
379.046, 10.109, -0.025
384.552, 10.112, -0.063
390.138, 10.112, -0.010
395.805, 10.114, 0.014
401.554, 10.117, -0.029
407.387, 10.114, -0.039
413.304, 10.115, -0.077
419.308, 10.122, -0.062
425.399, 10.111, -0.025
431.578, 10.114, -0.042
437.847, 10.109, -0.070
444.207, 10.114, -0.015
450.659, 10.115, -0.030
457.205, 10.108, -0.037
463.847, 10.107, -0.019
470.584, 10.113, -0.001
477.420, 10.108, -0.090
484.355, 10.104, -0.038
491.390, 10.109, -0.010
498.528, 10.114, -0.050
505.770, 10.108, -0.048
513.116, 10.104, -0.046
520.570, 10.105, -0.046
528.131, 10.106, -0.026
535.803, 10.105, -0.017
543.586, 10.106, -0.035
551.482, 10.105, -0.086
559.492, 10.103, 0.010
567.619, 10.113, -0.035
575.864, 10.104, -0.015
584.229, 10.114, -0.051
592.716, 10.099, -0.039
601.325, 10.102, 0.000
610.060, 10.111, -0.095
618.921, 10.106, -0.047
627.912, 10.106, -0.062
637.032, 10.102, -0.030
646.286, 10.107, -0.056
655.673, 10.102, -0.081
665.198, 10.115, -0.034
674.860, 10.104, -0.034
684.663, 10.114, -0.029
694.608, 10.100, -0.083
704.698, 10.103, -0.062
714.934, 10.101, -0.095
725.319, 10.108, 0.031
735.855, 10.106, -0.048
746.543, 10.109, -0.022
757.387, 10.109, -0.073
768.389, 10.108, -0.086
779.550, 10.104, -0.072
790.874, 10.100, -0.057
802.362, 10.096, -0.012
814.017, 10.107, 0.002
825.841, 10.089, -0.037
837.837, 10.105, -0.040
850.007, 10.109, 0.049
862.354, 10.100, -0.081
874.880, 10.114, -0.050
887.588, 10.108, 0.020
900.481, 10.108, -0.044
913.561, 10.103, -0.041
926.831, 10.097, -0.018
940.294, 10.100, -0.061
953.953, 10.110, -0.076
967.810, 10.101, 0.003
981.868, 10.095, -0.054
996.130, 10.107, -0.037
1010.599, 10.092, -0.023
1025.279, 10.091, -0.047
1040.172, 10.092, -0.018
1055.281, 10.084, -0.060
1070.610, 10.102, -0.056
1086.161, 10.097, -0.053
1101.938, 10.095, -0.027
1117.945, 10.096, -0.061
